model,category,prompt_id,version,duration,time_seconds
ltx_2_19b_distilled,animal,4,long,15s,124.53
ltx_2_19b_distilled,animal,5,short,5s,47.03
ltx_2_19b_distilled,animal,5,short,10s,81.82
ltx_2_19b_distilled,animal,5,short,15s,125.05
ltx_2_19b_distilled,animal,5,medium,5s,46.61
ltx_2_19b_distilled,animal,5,medium,10s,81.51
ltx_2_19b_distilled,animal,5,medium,15s,124.82
ltx_2_19b_distilled,animal,5,long,5s,46.69
ltx_2_19b_distilled,animal,5,long,10s,81.48
ltx_2_19b_distilled,animal,5,long,15s,124.87
ltx_2_19b_distilled,architecture,1,short,5s,46.41
ltx_2_19b_distilled,architecture,1,short,10s,81.43
ltx_2_19b_distilled,architecture,1,short,15s,124.61
ltx_2_19b_distilled,architecture,1,medium,5s,46.75
ltx_2_19b_distilled,architecture,1,medium,10s,81.44
ltx_2_19b_distilled,architecture,1,medium,15s,125.21
ltx_2_19b_distilled,architecture,1,long,5s,47.11
ltx_2_19b_distilled,architecture,1,long,10s,81.96
ltx_2_19b_distilled,architecture,1,long,15s,125.34
ltx_2_19b_distilled,architecture,2,short,5s,46.51
ltx_2_19b_distilled,architecture,2,short,10s,80.84
ltx_2_19b_distilled,architecture,2,short,15s,125.0
ltx_2_19b_distilled,architecture,2,medium,5s,46.64
ltx_2_19b_distilled,architecture,2,medium,10s,81.02
ltx_2_19b_distilled,architecture,2,medium,15s,124.71
ltx_2_19b_distilled,architecture,2,long,5s,46.57
ltx_2_19b_distilled,architecture,2,long,10s,81.39
ltx_2_19b_distilled,architecture,2,long,15s,124.89
ltx_2_19b_distilled,architecture,3,short,5s,46.29
ltx_2_19b_distilled,architecture,3,short,10s,80.88
ltx_2_19b_distilled,architecture,3,short,15s,124.44
ltx_2_19b_distilled,architecture,3,medium,5s,46.43
ltx_2_19b_distilled,architecture,3,medium,10s,80.76
ltx_2_19b_distilled,architecture,3,medium,15s,124.37
ltx_2_19b_distilled,architecture,3,long,5s,46.35
ltx_2_19b_distilled,architecture,3,long,10s,80.97
ltx_2_19b_distilled,architecture,3,long,15s,124.62
ltx_2_19b_distilled,architecture,4,short,5s,46.74
ltx_2_19b_distilled,architecture,4,short,10s,81.08
ltx_2_19b_distilled,architecture,4,short,15s,124.31
ltx_2_19b_distilled,architecture,4,medium,5s,46.68
ltx_2_19b_distilled,architecture,4,medium,10s,81.04
ltx_2_19b_distilled,architecture,4,medium,15s,124.85
ltx_2_19b_distilled,architecture,4,long,5s,46.99
ltx_2_19b_distilled,architecture,4,long,10s,81.26
